provenance,setting,split,method,macro_coverage
SIMULATED,Reuse,ID,Single metric,0.9953125
SIMULATED,Reuse,ID,Metric ensemble,0.9921875
SIMULATED,Reuse,ID,Static judge,0.9953125
SIMULATED,Reuse,ID,Static tools,0.9953125
SIMULATED,Reuse,ID,Prompt optimization,0.99375
SIMULATED,Reuse,ID,Program search,0.9921875
SIMULATED,Reuse,ID,P2E (ERA),0.9953125
SIMULATED,Reuse,OOD,Single metric,0.9921875
SIMULATED,Reuse,OOD,Metric ensemble,0.996875
SIMULATED,Reuse,OOD,Static judge,0.9937499999999999
SIMULATED,Reuse,OOD,Static tools,0.9921875
SIMULATED,Reuse,OOD,Prompt optimization,0.9859374999999999
SIMULATED,Reuse,OOD,Program search,0.99375
SIMULATED,Reuse,OOD,P2E (ERA),0.9953125
SIMULATED,Collect,ID,Single metric,0.996875
SIMULATED,Collect,ID,Metric ensemble,0.9984375
SIMULATED,Collect,ID,Static judge,0.9984375
SIMULATED,Collect,ID,Static tools,0.9921875
SIMULATED,Collect,ID,Prompt optimization,0.9921875
SIMULATED,Collect,ID,Program search,0.9984375
SIMULATED,Collect,ID,P2E (ERA),0.99375
SIMULATED,Collect,OOD,Single metric,0.996875
SIMULATED,Collect,OOD,Metric ensemble,0.996875
SIMULATED,Collect,OOD,Static judge,0.996875
SIMULATED,Collect,OOD,Static tools,0.996875
SIMULATED,Collect,OOD,Prompt optimization,0.996875
SIMULATED,Collect,OOD,Program search,0.9875
SIMULATED,Collect,OOD,P2E (ERA),1.0
